"identif";"fecha";"intensidad";"ocupacion";"carga";"tipo";"vmed";"error";"periodo_integracion"
"70006";"2013-11-01 02:30:00";264;1;8;"F";0;"N";5
"70007";"2013-11-01 02:30:00";44;0;4;"F";0;"N";5
"70008";"2013-11-01 02:30:00";88;0;5;"F";0;"N";5
"70009";"2013-11-01 02:30:00";208;0;4;"F";0;"N";5
"70010";"2013-11-01 02:30:00";8;0;3;"F";0;"N";5
"70011";"2013-11-01 02:30:00";24;0;3;"F";0;"N";5
"70012";"2013-11-01 02:30:00";8;0;2;"F";0;"N";5
"70013";"2013-11-01 02:30:00";112;1;4;"F";0;"N";5
"70014";"2013-11-01 02:30:00";0;0;0;"F";0;"N";5
"70015";"2013-11-01 02:30:00";20;0;0;"F";0;"N";5
"70016";"2013-11-01 02:30:00";28;0;0;"F";0;"N";5
"70403";"2013-11-01 02:30:00";24;4;5;"F";0;"N";5
"70501";"2013-11-01 02:30:00";32;0;2;"F";0;"N";5
"70502";"2013-11-01 02:30:00";32;0;2;"F";0;"N";5
"70503";"2013-11-01 02:30:00";160;2;9;"F";0;"N";5
"70504";"2013-11-01 02:30:00";80;0;5;"F";0;"N";5
"70506";"2013-11-01 02:30:00";264;1;8;"F";0;"N";5
"70509";"2013-11-01 02:30:00";124;1;3;"F";0;"N";5
"71001";"2013-11-01 02:30:00";152;1;6;"F";0;"N";5
"71002";"2013-11-01 02:30:00";160;1;7;"F";0;"N";5
"71003";"2013-11-01 02:30:00";104;1;7;"F";0;"N";5
"71004";"2013-11-01 02:30:00";128;1;7;"F";0;"N";5
"71005";"2013-11-01 02:30:00";100;1;6;"F";0;"N";5
"71006";"2013-11-01 02:30:00";164;1;7;"F";0;"N";5
"71007";"2013-11-01 02:30:00";124;1;5;"F";0;"N";5
"71008";"2013-11-01 02:30:00";60;0;2;"F";0;"N";5
"71009";"2013-11-01 02:30:00";60;0;2;"F";0;"N";5
"71010";"2013-11-01 02:30:00";76;0;3;"F";0;"N";5
"71011";"2013-11-01 02:30:00";48;0;1;"F";0;"N";5
"71012";"2013-11-01 02:30:00";24;0;1;"F";0;"N";5
"71013";"2013-11-01 02:30:00";48;0;3;"F";0;"N";5
"71016";"2013-11-01 02:30:00";60;0;1;"F";0;"N";5
"71017";"2013-11-01 02:30:00";8;0;2;"F";0;"N";5
