"identif";"fecha";"intensidad";"ocupacion";"carga";"tipo";"vmed";"error";"periodo_integracion"
"42525";"2013-09-01 04:30:00";68;0;2;"F";0;"N";5
"42536";"2013-09-01 04:30:00";48;0;1;"F";0;"N";5
"44002";"2013-09-01 04:30:00";304;2;9;"F";0;"N";5
"44003";"2013-09-01 04:30:00";240;1;10;"F";0;"N";5
"44004";"2013-09-01 04:30:00";296;2;10;"F";0;"N";5
"44005";"2013-09-01 04:30:00";208;0;5;"F";0;"N";5
"44007";"2013-09-01 04:30:00";284;1;11;"F";0;"N";5
"44009";"2013-09-01 04:30:00";264;2;11;"F";0;"N";5
"44010";"2013-09-01 04:30:00";164;2;10;"F";0;"N";5
"44011";"2013-09-01 04:30:00";264;2;12;"F";0;"N";5
"44012";"2013-09-01 04:30:00";120;0;8;"F";0;"N";5
"44013";"2013-09-01 04:30:00";64;0;7;"F";0;"N";5
"44014";"2013-09-01 04:30:00";192;2;16;"F";0;"N";5
"44015";"2013-09-01 04:30:00";184;1;14;"F";0;"N";5
"44016";"2013-09-01 04:30:00";68;0;5;"F";0;"N";5
"44017";"2013-09-01 04:30:00";76;1;6;"F";0;"N";5
"44018";"2013-09-01 04:30:00";36;0;5;"F";0;"N";5
"44019";"2013-09-01 04:30:00";100;0;4;"F";0;"N";5
"44020";"2013-09-01 04:30:00";124;1;5;"F";0;"N";5
"44024";"2013-09-01 04:30:00";176;3;5;"F";0;"N";5
"44025";"2013-09-01 04:30:00";192;1;9;"F";0;"N";5
"44026";"2013-09-01 04:30:00";116;1;3;"F";0;"N";5
"44029";"2013-09-01 04:30:00";64;0;4;"F";0;"N";5
"44030";"2013-09-01 04:30:00";100;0;4;"F";0;"N";5
"44032";"2013-09-01 04:30:00";56;0;5;"F";0;"N";5
"44033";"2013-09-01 04:30:00";4;0;1;"F";0;"N";5
"44035";"2013-09-01 04:30:00";28;0;1;"F";0;"N";5
"44036";"2013-09-01 04:30:00";16;0;3;"F";0;"N";5
"44037";"2013-09-01 04:30:00";20;0;3;"F";0;"N";5
"44038";"2013-09-01 04:30:00";56;1;7;"F";0;"N";5
"44039";"2013-09-01 04:30:00";24;0;6;"F";0;"N";5
"44040";"2013-09-01 04:30:00";56;0;12;"F";0;"N";5
"44041";"2013-09-01 04:30:00";80;0;3;"F";0;"N";5
"44042";"2013-09-01 04:30:00";136;1;6;"F";0;"N";5
"44043";"2013-09-01 04:30:00";28;1;5;"F";0;"N";5
"44401";"2013-09-01 04:30:00";20;24;10;"F";0;"N";5
"44402";"2013-09-01 04:30:00";0;0;0;"F";0;"N";5
"45035";"2013-09-01 04:30:00";40;0;1;"F";0;"N";5
"45036";"2013-09-01 04:30:00";176;1;3;"F";0;"N";5
"45037";"2013-09-01 04:30:00";80;0;4;"F";0;"N";5
"45038";"2013-09-01 04:30:00";64;0;1;"F";0;"N";5
"45039";"2013-09-01 04:30:00";160;0;3;"F";0;"N";5
"45040";"2013-09-01 04:30:00";44;0;1;"F";0;"N";5
"45041";"2013-09-01 04:30:00";80;0;2;"F";0;"N";5
"45043";"2013-09-01 04:30:00";16;0;2;"F";0;"N";5
"45044";"2013-09-01 04:30:00";0;0;0;"F";0;"N";5
"45045";"2013-09-01 04:30:00";0;0;0;"F";0;"N";5
"45046";"2013-09-01 04:30:00";0;0;0;"F";0;"N";5
"45047";"2013-09-01 04:30:00";224;1;5;"F";0;"N";5
"45049";"2013-09-01 04:30:00";0;0;1;"F";0;"N";5
"45401";"2013-09-01 04:30:00";84;18;21;"F";0;"N";5
"45402";"2013-09-01 04:30:00";12;1;5;"F";0;"N";5
"45411";"2013-09-01 04:30:00";4;3;2;"F";0;"N";5
"45412";"2013-09-01 04:30:00";0;0;0;"F";0;"N";5
"45414";"2013-09-01 04:30:00";0;0;1;"F";0;"N";5
"45502";"2013-09-01 04:30:00";140;0;3;"F";0;"N";5
"45505";"2013-09-01 04:30:00";44;0;3;"F";0;"N";5
"45519";"2013-09-01 04:30:00";60;0;3;"F";0;"N";5
"45533";"2013-09-01 04:30:00";4;0;1;"F";0;"N";5
"46001";"2013-09-01 04:30:00";116;0;3;"F";0;"N";5
"46002";"2013-09-01 04:30:00";68;0;3;"F";0;"N";5
"46003";"2013-09-01 04:30:00";84;0;2;"F";0;"N";5
"46004";"2013-09-01 04:30:00";36;0;2;"F";0;"N";5
"46005";"2013-09-01 04:30:00";64;0;2;"F";0;"N";5
"46006";"2013-09-01 04:30:00";92;0;3;"F";0;"N";5
"46007";"2013-09-01 04:30:00";92;0;3;"F";0;"N";5
"46009";"2013-09-01 04:30:00";88;1;4;"F";0;"N";5
"46010";"2013-09-01 04:30:00";96;0;3;"F";0;"N";5
"46011";"2013-09-01 04:30:00";92;0;3;"F";0;"N";5
"46012";"2013-09-01 04:30:00";112;1;5;"F";0;"N";5
"46013";"2013-09-01 04:30:00";92;1;4;"F";0;"N";5
"46014";"2013-09-01 04:30:00";104;1;3;"F";0;"N";5
"46015";"2013-09-01 04:30:00";100;1;4;"F";0;"N";5
"46016";"2013-09-01 04:30:00";88;0;3;"F";0;"N";5
"46017";"2013-09-01 04:30:00";100;7;7;"F";0;"N";5
"46018";"2013-09-01 04:30:00";88;0;4;"F";0;"N";5
"46019";"2013-09-01 04:30:00";0;0;1;"F";0;"N";5
"46020";"2013-09-01 04:30:00";32;0;2;"F";0;"N";5
