"identif";"fecha";"intensidad";"ocupacion";"carga";"tipo";"vmed";"error";"periodo_integracion"
"05023";"2013-12-01 00:00:00";740;3;14;"E";0;"N";5
"05024";"2013-12-01 00:00:00";584;2;12;"E";0;"N";5
"05708";"2013-12-01 00:00:00";1632;4;18;"E";0;"N";5
"06002";"2013-12-01 00:00:00";292;1;9;"E";0;"N";5
"06003";"2013-12-01 00:00:00";808;3;17;"E";0;"N";5
"06004";"2013-12-01 00:00:00";360;1;7;"E";0;"N";5
"06005";"2013-12-01 00:00:00";284;3;9;"E";0;"N";5
"06006";"2013-12-01 00:00:00";236;1;4;"E";0;"N";5
"06008";"2013-12-01 00:00:00";252;1;8;"E";0;"N";5
"06009";"2013-12-01 00:00:00";280;1;9;"E";0;"N";5
"06010";"2013-12-01 00:00:00";568;2;11;"E";0;"N";5
"06011";"2013-12-01 00:00:00";164;3;11;"E";0;"N";5
"06012";"2013-12-01 00:00:00";232;1;8;"E";0;"N";5
"06013";"2013-12-01 00:00:00";792;3;16;"E";0;"N";5
"06014";"2013-12-01 00:00:00";876;4;11;"E";0;"N";5
"06015";"2013-12-01 00:00:00";1012;4;20;"E";0;"N";5
"06016";"2013-12-01 00:00:00";768;4;15;"E";0;"N";5
"06017";"2013-12-01 00:00:00";696;4;21;"E";0;"N";5
"06018";"2013-12-01 00:00:00";256;5;16;"E";0;"N";5
"06019";"2013-12-01 00:00:00";260;1;5;"E";0;"N";5
"06021";"2013-12-01 00:00:00";708;4;14;"E";0;"N";5
"08012";"2013-12-01 00:00:00";220;1;8;"E";0;"N";4
"10009";"2013-12-01 00:00:00";140;2;6;"E";0;"N";1
"12054";"2013-12-01 00:00:00";20;33;10;"E";0;"N";1
"10501";"2013-12-01 00:00:00";84;1;5;"E";0;"N";5
"11029";"2013-12-01 00:00:00";190;0;14;"E";0;"N";4
"11033";"2013-12-01 00:00:00";1660;6;90;"E";0;"N";4
"12050";"2013-12-01 00:00:00";25;16;11;"E";0;"N";4
"14033";"2013-12-01 00:00:00";20;1;6;"E";0;"N";3
"13048";"2013-12-01 00:00:00";53;1;12;"E";0;"N";3
"15306";"2013-12-01 00:00:00";1890;76;99;"E";0;"N";4
"17003";"2013-12-01 00:00:00";52;13;19;"E";0;"N";5
