"identif";"fecha";"intensidad";"ocupacion";"carga";"tipo";"vmed";"error";"periodo_integracion"
"01001";"2013-08-01 00:30:00";94;3;6;"C";0;"N";5
"01002";"2013-08-01 00:30:00";77;1;3;"C";0;"N";5
"01003";"2013-08-01 00:30:00";959;35;53;"C";0;"N";5
"01004";"2013-08-01 00:30:00";703;3;14;"C";0;"N";5
"01005";"2013-08-01 00:30:00";1034;4;24;"C";0;"N";5
"01006";"2013-08-01 00:30:00";872;3;18;"C";0;"N";5
"01007";"2013-08-01 00:30:00";729;3;19;"C";0;"N";5
"01008";"2013-08-01 00:30:00";169;2;7;"C";0;"N";5
"01010";"2013-08-01 00:30:00";500;4;21;"C";0;"N";5
"01011";"2013-08-01 00:30:00";1063;7;28;"C";0;"N";5
"01014";"2013-08-01 00:30:00";669;3;16;"C";0;"N";5
"01015";"2013-08-01 00:30:00";898;4;21;"C";0;"N";5
"01018";"2013-08-01 00:30:00";661;3;11;"C";0;"N";5
"01019";"2013-08-01 00:30:00";77;15;19;"C";0;"N";5
"01020";"2013-08-01 00:30:00";153;4;14;"C";0;"N";5
"01021";"2013-08-01 00:30:00";347;6;31;"C";0;"N";5
"01030";"2013-08-01 00:30:00";831;2;18;"C";0;"N";5
"01031";"2013-08-01 00:30:00";958;4;21;"C";0;"N";5
"01032";"2013-08-01 00:30:00";932;4;21;"C";0;"N";5
"01500";"2013-08-01 00:30:00";898;4;21;"C";0;"N";5
"02001";"2013-08-01 00:30:00";504;2;13;"C";0;"N";5
"02002";"2013-08-01 00:30:00";45;1;4;"C";0;"N";5
"02003";"2013-08-01 00:30:00";738;3;21;"C";0;"N";5
"02004";"2013-08-01 00:30:00";63;2;6;"C";0;"N";5
"02005";"2013-08-01 00:30:00";1179;14;33;"C";0;"N";5
"02006";"2013-08-01 00:30:00";99;2;9;"C";0;"N";5
"02007";"2013-08-01 00:30:00";396;1;9;"C";0;"N";5
"02008";"2013-08-01 00:30:00";54;6;4;"C";0;"N";5
"02009";"2013-08-01 00:30:00";225;2;10;"C";0;"N";5
"02010";"2013-08-01 00:30:00";306;2;13;"C";0;"N";5
"02011";"2013-08-01 00:30:00";189;3;10;"C";0;"N";5
"02012";"2013-08-01 00:30:00";495;4;16;"C";0;"N";5
"02013";"2013-08-01 00:30:00";405;1;11;"C";0;"N";5
"02014";"2013-08-01 00:30:00";108;16;9;"C";0;"N";5
"02015";"2013-08-01 00:30:00";333;2;10;"C";0;"N";5
"02016";"2013-08-01 00:30:00";441;2;13;"C";0;"N";5
"02017";"2013-08-01 00:30:00";396;2;15;"C";0;"N";5
"02018";"2013-08-01 00:30:00";324;1;12;"C";0;"N";5
"02019";"2013-08-01 00:30:00";98;0;4;"C";0;"N";5
"02020";"2013-08-01 00:30:00";1233;9;37;"C";0;"N";5
