"identif";"fecha";"intensidad";"ocupacion";"carga";"tipo";"vmed";"error";"periodo_integracion"
"PM20152";"2013-07-12 07:15:00";1065;9;48;"M";73;"N";4
"PM22901";"2013-07-12 07:15:00";912;7;18;"M";58;"N";5
"PM22971";"2013-07-12 07:15:00";1008;6;19;"M";64;"N";5
"90009";"2013-07-12 07:15:00";16;6;6;"C";0;"N";5
"90010";"2013-07-12 07:15:00";287;3;12;"C";0;"N";5
"90011";"2013-07-12 07:15:00";88;1;4;"C";0;"N";5
"90012";"2013-07-12 07:15:00";42;66;68;"C";0;"N";5
"90014";"2013-07-12 07:15:00";575;3;16;"C";0;"N";5
"90015";"2013-07-12 07:15:00";111;4;12;"C";0;"N";5
"90016";"2013-07-12 07:15:00";576;3;23;"C";0;"N";5
"90017";"2013-07-12 07:15:00";161;1;6;"C";0;"N";5
"90018";"2013-07-12 07:15:00";575;3;16;"C";0;"N";5
"90019";"2013-07-12 07:15:00";84;2;8;"C";0;"N";5
"90020";"2013-07-12 07:15:00";195;4;17;"C";0;"N";5
"90021";"2013-07-12 07:15:00";224;1;6;"C";0;"N";5
"PM42352";"2013-07-12 07:15:00";384;2;17;"M";79;"N";5
"PM42353";"2013-07-12 07:15:00";1896;6;41;"M";79;"N";5
"PM43001";"2013-07-12 07:15:00";2256;10;37;"M";86;"N";5
"PM43011";"2013-07-12 07:15:00";1644;7;27;"M";88;"N";5
"PM43012";"2013-07-12 07:15:00";816;8;24;"M";67;"N";5
"PM43021";"2013-07-12 07:15:00";1464;6;24;"M";97;"N";5
"24005";"2013-07-12 07:15:00";165;2;11;"D";0;"N";5
"24006";"2013-07-12 07:15:00";231;2;14;"D";0;"N";5
"24007";"2013-07-12 07:15:00";147;40;45;"D";0;"N";5
"24008";"2013-07-12 07:15:00";74;10;19;"D";0;"N";5
"24009";"2013-07-12 07:15:00";111;2;8;"D";0;"N";5
"24010";"2013-07-12 07:15:00";103;3;11;"D";0;"N";5
"24011";"2013-07-12 07:15:00";167;2;7;"D";0;"N";5
"24003";"2013-07-12 07:15:00";276;3;11;"D";0;"N";5
"24004";"2013-07-12 07:15:00";82;1;5;"D";0;"N";5
"09008";"2013-07-12 07:15:00";161;1;7;"C";0;"N";5
"09009";"2013-07-12 07:15:00";1424;8;36;"C";0;"N";5
"09010";"2013-07-12 07:15:00";788;5;29;"C";0;"N";5
"09011";"2013-07-12 07:15:00";424;4;18;"C";0;"N";5
"09012";"2013-07-12 07:15:00";254;5;13;"C";0;"N";5
"09013";"2013-07-12 07:15:00";280;2;12;"C";0;"N";5
"09014";"2013-07-12 07:15:00";51;1;4;"C";0;"N";5
"09015";"2013-07-12 07:15:00";957;7;36;"C";0;"N";5
"09016";"2013-07-12 07:15:00";678;5;27;"C";0;"N";5
"90ET09PM01";"2013-07-12 07:15:00";1248;12;0;"Z";50;"N";5
"90ET43PM01";"2013-07-12 07:15:00";1248;11;0;"Z";52;"N";5
"90ET58PM01";"2013-07-12 07:15:00";936;8;0;"Z";53;"N";5
"90ET93PM01";"2013-07-12 07:15:00";444;2;0;"Z";54;"N";5
"50030";"2013-07-12 07:15:00";72;1;6;"D";0;"N";5
"31027";"2013-07-12 07:15:00";87;0;6;"E";0;"N";3
"31006";"2013-07-12 07:15:00";210;2;9;"E";0;"N";4
"31031";"2013-07-12 07:15:00";60;37;21;"E";0;"N";4
"33006";"2013-07-12 07:15:00";20;0;1;"E";0;"N";1
"33007";"2013-07-12 07:15:00";20;0;1;"E";0;"N";1
"33018";"2013-07-12 07:15:00";80;0;4;"E";0;"N";1
"32040";"2013-07-12 07:15:00";20;1;2;"E";0;"N";2
"33017";"2013-07-12 07:15:00";70;0;8;"E";0;"N";2
"32018";"2013-07-12 07:15:00";110;0;10;"E";0;"N";4
"32047";"2013-07-12 07:15:00";225;0;7;"E";0;"N";4
"32052";"2013-07-12 07:15:00";195;1;8;"E";0;"N";4
"33026";"2013-07-12 07:15:00";20;0;13;"E";0;"N";1
"33503";"2013-07-12 07:15:00";110;0;6;"E";0;"N";2
"33037";"2013-07-12 07:15:00";140;0;11;"E";0;"N";3
"33039";"2013-07-12 07:15:00";55;1;8;"E";0;"N";4
"33539";"2013-07-12 07:15:00";445;4;24;"E";0;"N";4
"35027";"2013-07-12 07:15:00";180;3;9;"E";0;"N";1
"35060";"2013-07-12 07:15:00";107;0;6;"E";0;"N";3
"43009";"2013-07-12 07:15:00";85;33;18;"E";0;"N";4
"43011";"2013-07-12 07:15:00";155;4;14;"E";0;"N";4
"43024";"2013-07-12 07:15:00";120;2;14;"E";0;"N";4
"43036";"2013-07-12 07:15:00";53;80;45;"E";0;"N";3
"60036";"2013-07-12 07:15:00";67;0;2;"E";0;"N";3
"60037";"2013-07-12 07:15:00";80;1;1;"E";0;"N";2
"61054";"2013-07-12 07:15:00";80;0;2;"E";0;"N";3
"61045";"2013-07-12 07:15:00";90;0;2;"E";0;"N";4
"61046";"2013-07-12 07:15:00";110;0;3;"E";0;"N";4
"61089";"2013-07-12 07:15:00";60;0;1;"E";0;"N";4
"61090";"2013-07-12 07:15:00";100;0;2;"E";0;"N";4
"61115";"2013-07-12 07:15:00";550;4;15;"E";0;"N";4
"61122";"2013-07-12 07:15:00";80;0;3;"E";0;"N";4
"62016";"2013-07-12 07:15:00";27;1;2;"E";0;"N";3
"62033";"2013-07-12 07:15:00";20;0;1;"E";0;"N";3
"62038";"2013-07-12 07:15:00";50;0;2;"E";0;"N";4
"62039";"2013-07-12 07:15:00";40;1;3;"E";0;"N";4
"62067";"2013-07-12 07:15:00";60;1;2;"E";0;"N";2
"63021";"2013-07-12 07:15:00";40;1;2;"E";0;"N";4
"63047";"2013-07-12 07:15:00";35;0;1;"E";0;"N";4
"92003";"2013-07-12 07:15:00";120;1;6;"E";0;"N";3
"92500";"2013-07-12 07:15:00";87;15;7;"E";0;"N";3
"93003";"2013-07-12 07:15:00";33;23;11;"E";0;"N";3
"97011";"2013-07-12 07:15:00";130;0;3;"E";0;"N";4
"97048";"2013-07-12 07:15:00";410;8;14;"E";0;"N";4
"97049";"2013-07-12 07:15:00";520;17;33;"E";0;"N";4
"40005";"2013-07-12 07:15:00";115;1;8;"F";0;"N";4
