PM20152|13|07|12|1065|9|48|M|73|N|4|28079024
PM22901|13|07|12|912|7|18|M|58|N|5|28079099
PM22971|13|07|12|1008|6|19|M|64|N|5|28079058
90009|13|07|12|16|6|6|C|0|N|5|28079011
90010|13|07|12|287|3|12|C|0|N|5|28079015
90011|13|07|12|88|1|4|C|0|N|5|28079099
90012|13|07|12|42|66|68|C|0|N|5|28079058
90014|13|07|12|575|3|16|C|0|N|5|28079011
90015|13|07|12|111|4|12|C|0|N|5|28079099
90016|13|07|12|576|3|23|C|0|N|5|28079099
90017|13|07|12|161|1|6|C|0|N|5|28079058
90018|13|07|12|575|3|16|C|0|N|5|28079058
90019|13|07|12|84|2|8|C|0|N|5|28079011
90020|13|07|12|195|4|17|C|0|N|5|28079058
90021|13|07|12|224|1|6|C|0|N|5|28079011
PM42352|13|07|12|384|2|17|M|79|N|5|28079099
PM42353|13|07|12|1896|6|41|M|79|N|5|28079058
PM43001|13|07|12|2256|10|37|M|86|N|5|28079099
PM43011|13|07|12|1644|7|27|M|88|N|5|28079099
PM43012|13|07|12|816|8|24|M|67|N|5|28079099
PM43021|13|07|12|1464|6|24|M|97|N|5|28079058
24005|13|07|12|165|2|11|D|0|N|5|28079011
24006|13|07|12|231|2|14|D|0|N|5|28079011
24007|13|07|12|147|40|45|D|0|N|5|28079058
24008|13|07|12|74|10|19|D|0|N|5|28079011
24009|13|07|12|111|2|8|D|0|N|5|28079099
24010|13|07|12|103|3|11|D|0|N|5|28079011
24011|13|07|12|167|2|7|D|0|N|5|28079011
24003|13|07|12|276|3|11|D|0|N|5|28079058
24004|13|07|12|82|1|5|D|0|N|5|28079058
09008|13|07|12|161|1|7|C|0|N|5|28079023
09009|13|07|12|1424|8|36|C|0|N|5|28079099
09010|13|07|12|788|5|29|C|0|N|5|28079058
09011|13|07|12|424|4|18|C|0|N|5|28079058
09012|13|07|12|254|5|13|C|0|N|5|28079024
09013|13|07|12|280|2|12|C|0|N|5|28079023
09014|13|07|12|51|1|4|C|0|N|5|28079099
09015|13|07|12|957|7|36|C|0|N|5|28079058
09016|13|07|12|678|5|27|C|0|N|5|28079011
90ET09PM01|13|07|12|1248|12|0|Z|50|N|5|28079011
90ET43PM01|13|07|12|1248|11|0|Z|52|N|5|28079058
90ET58PM01|13|07|12|936|8|0|Z|53|N|5|28079011
90ET93PM01|13|07|12|444|2|0|Z|54|N|5|28079011
50030|13|07|12|72|1|6|D|0|N|5|28079099
31027|13|07|12|87|0|6|E|0|N|3|28079099
31006|13|07|12|210|2|9|E|0|N|4|28079005
31031|13|07|12|60|37|21|E|0|N|4|28079011
33006|13|07|12|20|0|1|E|0|N|1|28079099
33007|13|07|12|20|0|1|E|0|N|1|28079099
33018|13|07|12|80|0|4|E|0|N|1|28079011
32040|13|07|12|20|1|2|E|0|N|2|28079099
33017|13|07|12|70|0|8|E|0|N|2|28079058
32018|13|07|12|110|0|10|E|0|N|4|28079099
32047|13|07|12|225|0|7|E|0|N|4|28079024
32052|13|07|12|195|1|8|E|0|N|4|28079023
33026|13|07|12|20|0|13|E|0|N|1|28079023
33503|13|07|12|110|0|6|E|0|N|2|None
33037|13|07|12|140|0|11|E|0|N|3|28079058
33039|13|07|12|55|1|8|E|0|N|4|28079011
33539|13|07|12|445|4|24|E|0|N|4|None
35027|13|07|12|180|3|9|E|0|N|1|28079011
35060|13|07|12|107|0|6|E|0|N|3|None
43009|13|07|12|85|33|18|E|0|N|4|28079099
43011|13|07|12|155|4|14|E|0|N|4|28079011
43024|13|07|12|120|2|14|E|0|N|4|28079005
43036|13|07|12|53|80|45|E|0|N|3|28079011
60036|13|07|12|67|0|2|E|0|N|3|28079011
60037|13|07|12|80|1|1|E|0|N|2|28079011
61054|13|07|12|80|0|2|E|0|N|3|28079015
61045|13|07|12|90|0|2|E|0|N|4|28079023
61046|13|07|12|110|0|3|E|0|N|4|28079058
61089|13|07|12|60|0|1|E|0|N|4|28079011
61090|13|07|12|100|0|2|E|0|N|4|28079058
61115|13|07|12|550|4|15|E|0|N|4|28079058
61122|13|07|12|80|0|3|E|0|N|4|None
62016|13|07|12|27|1|2|E|0|N|3|28079011
62033|13|07|12|20|0|1|E|0|N|3|28079058
62038|13|07|12|50|0|2|E|0|N|4|28079099
62039|13|07|12|40|1|3|E|0|N|4|28079099
62067|13|07|12|60|1|2|E|0|N|2|28079011
63021|13|07|12|40|1|2|E|0|N|4|28079011
63047|13|07|12|35|0|1|E|0|N|4|28079023
92003|13|07|12|120|1|6|E|0|N|3|28079011
92500|13|07|12|87|15|7|E|0|N|3|None
93003|13|07|12|33|23|11|E|0|N|3|28079099
97011|13|07|12|130|0|3|E|0|N|4|28079099
97048|13|07|12|410|8|14|E|0|N|4|28079011
97049|13|07|12|520|17|33|E|0|N|4|28079058
40005|13|07|12|115|1|8|F|0|N|4|28079011
40013|13|07|12|120|1|5|F|0|N|4|28079011
40015|13|07|12|140|2|9|F|0|N|4|28079099
41025|13|07|12|60|1|4|F|0|N|2|28079058
41039|13|07|12|180|2|15|F|0|N|4|28079058
42403|13|07|12|50|0|3|F|0|N|4|28079023
42029|13|07|12|50|0|1|F|0|N|2|28079027
45028|13|07|12|130|0|15|F|0|N|4|28079011
45404|13|07|12|40|15|21|F|0|N|4|28079058
45409|13|07|12|27|3|6|F|0|N|3|28079099
45411|13|07|12|115|47|40|F|0|N|4|28079099
46010|13|07|12|580|3|15|F|0|N|4|28079011
46036|13|07|12|240|8|7|F|0|N|4|28079024
46403|13|07|12|160|1|59|F|0|N|2|28079011
47021|13|07|12|155|1|8|F|0|N|4|28079058
47404|13|07|12|27|0|1|F|0|N|3|28079058
53401|13|07|12|30|18|14|F|0|N|2|28079011
53019|13|07|12|285|2|16|F|0|N|4|28079011
53030|13|07|12|150|14|13|F|0|N|4|28079058
53043|13|07|12|75|2|19|F|0|N|4|28079024
53044|13|07|12|285|3|6|F|0|N|4|28079011
54003|13|07|12|87|3|2|F|0|N|3|28079023
55034|13|07|12|35|1|6|F|0|N|4|28079099
55043|13|07|12|160|1|7|F|0|N|4|28079099
56035|13|07|12|120|1|13|F|0|N|2|28079024
56001|13|07|12|80|1|5|F|0|N|3|28079011
56033|13|07|12|127|1|7|F|0|N|3|28079023
56034|13|07|12|45|1|8|F|0|N|4|28079099
57005|13|07|12|230|2|14|F|0|N|4|28079005
59002|13|07|12|170|2|9|F|0|N|2|28079058
64031|13|07|12|53|1|13|F|0|N|3|28079099
64014|13|07|12|640|7|27|F|0|N|3|28079058
65008|13|07|12|320|2|10|F|0|N|3|28079011
65018|13|07|12|153|1|6|F|0|N|3|28079099
65020|13|07|12|110|1|8|F|0|N|4|28079011
65024|13|07|12|180|1|9|F|0|N|4|28079011
65041|13|07|12|100|1|8|F|0|N|3|28079005
69002|13|07|12|95|0|5|F|0|N|4|28079058
71401|13|07|12|40|1|7|F|0|N|1|28079099
74011|13|07|12|20|0|2|F|0|N|1|28079023
74012|13|07|12|115|2|20|F|0|N|4|28079099
76002|13|07|12|70|1|16|F|0|N|2|28079058
76003|13|07|12|73|2|8|F|0|N|3|28079058
75022|13|07|12|80|0|3|F|0|N|2|28079011
28046|13|07|12|20|1|2|G|0|N|3|28079058
